Product Name,SKU,Category,Unit Price,Stock Quantity,Supplier
Laptop Pro 15,LP001,Electronics,80000,20,TechWorld
24-inch LED Monitor,MN001,Electronics,25000,15,VisionTech
Mechanical Keyboard,KB001,Accessories,3500,50,NextGen
Wireless Mouse,MS001,Accessories,1200,80,NextGen
Gaming Headset,HP001,Accessories,4500,30,SoundMax
Office Chair,CH001,Furniture,8500,25,ComfortHome
Standing Desk,SD001,Furniture,18000,12,ComfortHome
Laser Printer,PR001,Office Equipment,22000,10,PrintPlus
External SSD 1TB,SS001,Storage,9500,40,StorageHub
Webcam HD,WC001,Accessories,3200,60,VisionTech
USB-C Hub,HB001,Accessories,2500,45,TechWorld
Graphics Tablet,GT001,Electronics,15000,18,CreativeTech
Smartphone X,SP001,Mobiles,65000,35,MobileHub
Tablet Air,TB001,Tablets,42000,22,MobileHub
Bluetooth Speaker,BS001,Audio,5500,55,SoundMax
